(('회담', 'NNG'), 333)  Summit
(('남북', 'NNG'), 320)   Corea reunificada 
(('정상', 'NNG'), 317)   Reunion 
(('것', 'NNB'), 79)  Cosa 
(('다음', 'NNG'), 63)  Siguiente 
 (('뉴스', 'NNG'), 61)  Noticia 
(('대통령', 'NNG'), 58)  Una raza 
(('문', 'NNG'), 57)  Presidente Surcora 
(('거', 'NNB'), 51)
(('김', 'NNG'), 48)    Kim jeoung un 
(('북한', 'NNG'), 36)  
(('당', 'NNG'), 34)
(('재인', 'NNG'), 32)
(('한국', 'NNG'), 32)
(('사람', 'NNG'), 29)
(('일', 'NNG'), 28)
(('생각', 'NNG'), 27)
(('나', 'NP'), 26)
(('정은', 'NNG'), 25)
(('위원장', 'NNG'), 24)
(('우리', 'NP'), 24)
(('홍', 'NNG'), 23)
(('이번', 'NNG'), 23)
(('1', 'NR'), 23)
(('평화', 'NNG'), 22)
(('인터뷰', 'NNG'), 20)
(('만찬', 'NNG'), 20)
(('쇼', 'NNG'), 20)
(('문제', 'NNG'), 20)
(('수', 'NNB'), 20)
(('선언', 'NNG'), 20)
(('2', 'NR'), 19)
(('년', 'NNM'), 19)
(('표', 'NNG'), 18)
(('남', 'NNG'), 18)
(('이재명', 'NNG'), 18)   Nombre del politico con el escandalo
(('8', 'NR'), 17)
(('때', 'NNG'), 17)
(('4', 'NR'), 17)
(('3', 'NR'), 17)
(('전', 'NNG'), 17)
(('북', 'NNG'), 17)
(('안', 'NNG'), 16)
(('트럼프', 'NNG'), 16)  TRUMP 
(('비핵화', 'NNG'), 16)
(('경원', 'NNG'), 16)
(('어처구니', 'NNG'), 16)
(('자유', 'NNG'), 15)
(('관련', 'NNG'), 15)
(('일본', 'NNG'), 15)
(('날', 'NNG'), 15)
(('미', 'NNG'), 15)
(('판문점', 'NNG'), 15)
(('의원', 'NNG'), 14)
(('초대', 'NNG'), 14)
(('정치', 'NNG'), 14)
(('대한민국', 'NNG'), 14)
(('반대', 'NNG'), 13)
(('9', 'NR'), 13)
(('국민', 'NNG'), 13)
(('논평', 'NNG'), 13)
(('시간', 'NNG'), 13)
(('어제', 'NNG'), 13)
(('언론', 'NNG'), 12)
(('역사적', 'NNG'), 12)
(('현', 'NNG'), 12)
(('님', 'NNG'), 12)
(('소리', 'NNG'), 12)
(('말', 'NNG'), 12)
(('도보', 'NNG'), 12)
(('다리', 'NNG'), 12)
(('북미', 'NNG'), 12)
(('핵', 'NNG'), 12)
(('27', 'NR'), 12)
(('라', 'NNG'), 12)
(('애', 'NNG'), 12)
(('범죄', 'NNG'), 11)
(('성과', 'NNG'), 11)
(('자유당', 'NNG'), 11)
(('기사', 'NNG'), 11)
(('평양', 'NNP'), 11)
(('나', 'NNG'), 11)
(('베', 'NNG'), 11)
(('킹', 'NNG'), 10)
(('아사', 'NNG'), 10)
(('방송', 'NNG'), 10)
(('세계', 'NNG'), 10)
(('길', 'NNG'), 10)
(('지', 'NNG'), 10)
(('6', 'NR'), 10)
(('이후', 'NNG'), 10)
(('저', 'NP'), 10)
(('축하', 'NNG'), 10)
(('미국', 'NNP'), 10)
(('2018', 'NR'), 10)
(('일', 'NNM'), 10)
(('통일', 'NNG'), 10)
(('엄마', 'NNG'), 10)
(('지지', 'NNG'), 9)
(('뿐', 'NNB'), 9)
(('중국', 'NNG'), 9)
(('자한', 'NNG'), 9)
(('국가', 'NNG'), 9)
(('각종', 'NNG'), 9)
(('아베', 'NNP'), 9)
(('오늘', 'NNG'), 9)
(('보도', 'NNG'), 9)
(('눈', 'NNG'), 9)
(('입법부', 'NNG'), 9)
(('하나', 'NR'), 9)
(('나라', 'NNG'), 9)
(('이것', 'NP'), 9)
(('위장', 'NNG'), 9)
(('역풍', 'NNG'), 9)
(('민주당', 'NNG'), 9)
(('권', 'NNG'), 9)
(('역사', 'NNG'), 9)
(('이유', 'NNG'), 9)
(('종전', 'NNG'), 9)
(('정', 'NNG'), 9)
(('수정', 'NNG'), 9)
(('뭐', 'NP'), 9)
(('새끼', 'NNG'), 9)
(('집회', 'NNG'), 9)
(('냉면', 'NNG'), 9)
(('중앙', 'NNG'), 8)
(('짓', 'NNG'), 8)
(('상담', 'NNG'), 8)
(('자', 'NNG'), 8)
(('중', 'NNB'), 8)
(('그', 'NP'), 8)
(('이상', 'NNG'), 8)
(('어디', 'NP'), 8)
(('내', 'NP'), 8)
(('안보', 'NNG'), 8)
(('공세', 'NNG'), 8)
(('줄', 'NNB'), 8)
(('사', 'NNG'), 8)
(('내용', 'NNG'), 8)
(('글', 'NNG'), 8)
(('우리', 'NNM'), 8)
(('무시', 'NNG'), 8)
(('전쟁', 'NNG'), 8)
(('법', 'NNG'), 8)
(('루', 'NNG'), 7)
(('영상', 'NNG'), 7)
(('이제', 'NNG'), 7)
(('국영', 'NNG'), 7)
(('해', 'NNG'), 7)
(('소환', 'NNG'), 7)
