PSOTIVOS: 
(('남북', 'NNG'), 2998)  Dos coreas
(('평화', 'NNG'), 1346)  Paz 
(('걷기', 'NNG'), 676)  Avanzar 
(('행사', 'NNG'), 657) Evento 
(('뉴스', 'NNG'), 532)
(('통일', 'NNG'), 492)  Reunificacion 
(('문', 'NNG'), 285) Moon jae in 
(('선언문', 'NNG'), 272)  seon eon mun
(('조국', 'NNG'), 265)
(('판문점', 'NNG'), 257)
(('김', 'NNG'), 257)
(('대통령', 'NNG'), 234)
(('것', 'NNB'), 232)
(('재조명', 'NNG'), 227)
(('신문', 'NNG'), 206)
(('한반도', 'NNG'), 199)
(('선언', 'NNG'), 199)
(('한국', 'NNG'), 197)
(('북한', 'NNG'), 173)
(('재인', 'NNG'), 165)
(('님', 'NNG'), 163)
(('당', 'NNG'), 161)
(('4', 'NR'), 155)
(('공유', 'NNG'), 152)
(('다음', 'NNG'), 151)
(('전쟁', 'NNG'), 150)
(('1', 'NR'), 145)
(('비핵화', 'NNG'), 134)
(('정은', 'NNG'), 133)
(('일', 'NNM'), 132)
(('표', 'NNG'), 126)
(('홍', 'NNG'), 125)
(('일보', 'NNG'), 124)
(('종식', 'NNG'), 120)
(('세계', 'NNG'), 118)
(('만찬', 'NNG'), 113)
(('전', 'NNG'), 111)
(('출처', 'NNG'), 109)
(('2', 'NR'), 108)
(('우리', 'NP'), 108)
(('영상', 'NNG'), 106)
(('라', 'NNG'), 103)
(('27', 'NR'), 101)
(('수', 'NNB'), 99)
(('네이버', 'NNP'), 98)
(('방송', 'NNG'), 97)
(('3', 'NR'), 96)
(('사진', 'NNG'), 96)
(('여성', 'NNG'), 96)
(('실현', 'NNG'), 93)
(('공연', 'NNG'), 92)
(('국민', 'NNG'), 89)
(('사람', 'NNG'), 87)
(('남', 'NNG'), 86)
(('바람', 'NNG'), 83)
(('북', 'NNG'), 82)
(('위원장', 'NNG'), 79)
(('환송', 'NNG'), 79)
(('시작', 'NNG'), 77)
(('일', 'NNG'), 77)
(('천지', 'NNP'), 76)
(('보도', 'NNG'), 76)
(('국제', 'NNG'), 75)
(('축하', 'NNG'), 73)
(('생각', 'NNG'), 73)
(('역사', 'NNG'), 73)
(('위장', 'NNG'), 71)
(('5', 'NR'), 70)
(('미국', 'NNP'), 70)
(('트럼프', 'NNG'), 68)
(('안보', 'NNG'), 68)
(('거', 'NNB'), 67)
(('역사적', 'NNG'), 66)
